"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"Grudge Match",2013,"original screenplay","29","35","32",47,"65","-18","56","-24",NA,"Sport, Comedy","7021993","7.02","29807260",29.81,"15.1","15100000","44,907,260","45","33.62%","40","112.27%","17.55%","","","http://www.amazon.com/gp/product/B00IJ7QSAW/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2013",NA
"Rush ",2013,"based on a true story","89","75","82",88,"85","3","87","-5",NA,"Action, Biography, Drama, Sport","187289","0.19","26947624",26.95,"63.3","63300000","90,247,624","90","70.14%","38","237.49%","0.49%","","","http://www.amazon.com/gp/product/B00H9671YQ/?tag=titb-20",1,NA,NA,NA,"Sep 27, 2013",NA
"Riddick",2013,"sequel","59","49","54",54,"72","-18","63","-9",NA,"Action, Sci-Fi, Thriller","19030375","19.03","42025135",42.03,"56.31","56312160","98,337,295","98","57.26%","38","258.78%","50.08%","","","http://www.amazon.com/gp/product/B00GU9E17I/?tag=titb-20",1,NA,NA,NA,"Sep 6, 2013",NA
"We're The Millers",2013,"original screenplay","47","44","46",72,"70","2","71","-26",NA,"Comedy, Crime","26419396","26","150394119",150,"120","119600000","269,994,119","270","44.30%","37","729.71%","71.40%","","","http://www.amazon.com/gp/product/B00FLNRN06/?tag=titb-20",1,NA,NA,NA,"Aug 7, 2013",NA
"Warm Bodies",2013,"adaptation","81","59","70",73,"69","4","71","-1",NA,"Drama, Horror, Comedy, Romance","20353987","20.35","66380662",66.38,"50.6","50600000","116,980,662","117","43.26%","35","334.23%","58.15%","","","http://www.amazon.com/gp/product/B00CL50LEC/?tag=titb-20",1,NA,NA,NA,"Feb 1, 2013",NA
"Mandela: Long Walk to Freedom",2013,"based on a true story","58","60","59",69,"59","10","64","-5",NA,"Biography, Drama, History","84283","0.08","8323085",8.32,"19.01","19010750","27,333,835","27","69.55%","35","78.10%","0.24%","","","http://www.amazon.com/gp/product/B00IF5P8TA/?tag=titb-20",1,NA,NA,NA,"Nov 29, 2013",NA
"Saving Mr. Banks",2013,"based on a true story","80","65","73",84,"77","7","81","-8",NA,"Biography, Drama, History, Comedy, Music, Family","413373","0.41","83301580",83.3,"29.24","29243000","112,544,580","113","25.98%","35","321.56%","1.18%","","","http://www.amazon.com/gp/product/B00J2PEU3W/?tag=titb-20",1,NA,NA,NA,"Dec 20, 2013",NA
"Identity Thief",2013,"original screenplay","19","35","27",54,"49","5","52","-25",NA,"Comedy, Crime","34551025","34.55","134506920",134.51,"0","39.46","173,965,010","174","0.00%","35","497.04%","98.72%","","","http://www.amazon.com/gp/product/B00D6C6JAO/?tag=titb-20",1,NA,NA,NA,"Feb 8, 2013",NA
"Snitch",2013,"original screenplay","56","51","54",61,"60","1","61","-7",NA,"Action, Drama, Thriller","13167607","13.17","42930462",42.93,"14.89","14894212","42,930,477","43","34.69%","35","122.66%","37.62%","","","http://www.amazon.com/gp/product/B00CTSYHLE/?tag=titb-20",1,NA,NA,NA,"Feb 22, 2013",NA
"This is the End",2013,"original screenplay","83","67","75",71,"71","0","71","4",NA,"Action, Sci-Fi, Fantasy, Comedy","20719162","20.72","101470202",101.47,"24.57","24571120","126,041,120","126","19.49%","32","393.88%","64.75%","","","http://www.amazon.com/gp/product/B00EP0MY64/?tag=titb-20",1,NA,NA,NA,"Jun 12, 2013",NA
"Oldboy",2013,"adaptation","41","49","45",37,"47","-10","42","3",NA,"Action, Drama, Mystery, Thriller","885382","0.89","2193658",2.19,"2.67","2667364","4,861,022","5","54.87%","30","16.20%","2.95%","","","http://www.amazon.com/gp/product/B00I95N384/?tag=titb-20",1,NA,NA,NA,"Nov 27, 2013",NA
"The Family",2013,"adaptation","29","42","36",41,"61","-20","51","-16",NA,"Action, Drama, Thriller, Comedy, Crime","14034764","14.03","36918811",36.92,"41.5","41500000","78,418,811","78","52.92%","30","261.40%","46.78%","","","http://www.amazon.com/gp/product/B00GJ4A9NO/?tag=titb-20",1,NA,NA,NA,"Sep 13, 2013",NA
"Carrie",2013,"adaptation, remake / reboot","48","53","51",45,"62","-17","54","-3",NA,"Sci-Fi, Drama, Horro","12101552","12.1","35266619",35.27,"49.52","49524059","84,790,678","85","58.41%","30","282.64%","40.34%","","","http://www.amazon.com/gp/product/B00HME4I0A/?tag=titb-20",1,NA,NA,NA,"Oct 18, 2013",NA
"Lee Daniels' The Butler",2013,"based on a true story","72","66","69",78,"67","11","73","-4",NA,"Biography, Drama, History","24637312","24.64","116632095",116.63,"59.97","59966813","176,598,908","177","33.96%","30","588.66%","82.12%","","","http://www.amazon.com/gp/product/B00H6PG2NG/?tag=titb-20",1,NA,NA,NA,"Aug 16, 2013",NA
"Side Effects",2013,"original screenplay","83","75","79",70,"75","-5","73","7",NA,"Drama, Thriller, Crime","9303145","9.3","32172757",32.17,"31.2","31200000","63,372,757","63","49.23%","30","211.24%","31.01%","","","http://www.amazon.com/gp/product/B00CWV8X04/?tag=titb-20",1,NA,NA,NA,"Feb 8, 2013",NA
"Safe Haven",2013,"adaptation","12","34","23",67,"54","13","61","-38",NA,"Drama, Mystery, Thriller, Romance","21401594","21.4","71349120",71.35,"26.25","26245020","97,594,140","98","26.89%","28","348.55%","76.43%","","","http://www.amazon.com/gp/product/B00COGXGNQ/?tag=titb-20",1,NA,NA,NA,"Feb 14, 2013",NA
"Last Vegas",2013,"original screenplay","46","48","47",60,"70","-10","65","-18",NA,"Comedy","16334566","16.33","63914167",63.91,"70.49","70488283","134,402,450","134","52.45%","28","480.01%","58.34%","","","http://www.amazon.com/gp/product/B00HZ4AFOU/?tag=titb-20",1,NA,NA,NA,"Nov 1, 2013",NA
"Kick-Ass 2",2013,"sequel","30","41","36",58,"72","-14","65","-30",NA,"Action, Thriller, Comedy, Crime","13332955","13.33","28795985",28.8,"32","3.2e+07","60,795,985","61","52.64%","28","217.13%","47.62%","","","http://www.amazon.com/gp/product/B00GQ69PUI/?tag=titb-20",1,NA,NA,NA,"Aug 16, 2013",NA
"Pain & Gain",2013,"adaptation","49","45","47",47,"65","-18","56","-9",NA,"Action, Drama, Thriller, Comedy, Crime","20244505","20.24","49875291",49.88,"36.3","36300000","86,175,291","86","42.12%","26","331.44%","77.86%","","","http://www.amazon.com/gp/product/B00ESY863M/?tag=titb-20",1,NA,NA,NA,"Apr 26, 2013",NA
"Delivery Man",2013,"original screenplay","39","44","42",47,"61","-14","54","-13",NA,"Drama, Comedy","7944977","7.94","30664106",30.66,"20.5","20500000","51,164,106","51","40.07%","26","196.79%","30.56%","","","http://www.amazon.com/gp/product/B00I8R4DNC/?tag=titb-20",1,NA,NA,NA,"Nov 22, 2013",NA
"August: Osage County",2013,"adaptation","64","58","61",66,"70","-4","68","-7",NA,"Drama, Comedy","179302","0.18","37738810",37.74,"36.45","36450127","74,188,937","74","49.13%","25","296.76%","0.72%","","","http://www.amazon.com/gp/product/B00IEPTXUG/?tag=titb-20",1,NA,NA,NA,"Dec 27, 2013",NA
"Tyler Perry's A Madea Christmas",2013,"adaptation","18","28","23",71,"37","34","54","-31",NA,"Drama, Comedy","16007634","16.01","52543354",52.54,"0.85","853000","53,396,354","53","1.60%","25","213.59%","64.03%","","","http://www.amazon.com/gp/product/B00NPTL6O2/?tag=titb-20",1,NA,NA,NA,"Dec 13, 2013",NA
"Out of the Furnace",2013,"original screenplay","53","63","58",52,"73","-21","63","-5",NA,"Drama, Thriller, Crime","5220288","5.22","11330849",11.33,"4.1","4104000","15,434,849","15","26.59%","22","70.16%","23.73%","","","http://www.amazon.com/gp/product/B00IXE6568/?tag=titb-20",1,NA,NA,NA,"Dec 6, 2013",NA
"Tyler Perry's Temptation",2013,"adaptation","15","26","21",66,"27","39","47","-26",NA,"Drama","21641679","21.64","51975354",51.98,"1.15","1150000","53,125,354","53","2.16%","20","265.63%","108.21%","","","http://www.amazon.com/gp/product/B00DU70VU4/?tag=titb-20",1,NA,NA,NA,"Mar 29, 2013",NA
"The Conjuring",2013,"based on a true story","86","68","77",82,"78","4","80","-3",NA,"Biography, Thriller, Horror","41855326","42","137400141",137,"181","180600000","318,000,144","318","56.79%","20","1590.00%","209.28%","","","http://www.amazon.com/gp/product/B00G32TD98/?tag=titb-20",1,NA,NA,NA,"Jul 19, 2013",NA
"The World's End",2013,"original screenplay","89","81","85",71,"77","-6","74","11",NA,"Action, Sci-Fi, Comedy","8811790","8.81","26004851",26,"20.08","20084436","46,089,287","46","43.58%","20","230.45%","44.06%","","","http://www.amazon.com/gp/product/B00G0OMZPS/?tag=titb-20",1,NA,NA,NA,"Aug 23, 2013",NA
"Machete Kills",2013,"sequel","29","41","35",35,"60","-25","48","-13",NA,"Action, Thriller, Crime","3837183","3.84","8008161",8.01,"7","7e+06","15,008,161","15","46.64%","20","75.04%","19.19%","","","http://www.amazon.com/gp/product/B00H8C4R3O/?tag=titb-20",1,NA,NA,NA,"Oct 11, 2013",NA
"Scary Movie 5",2013,"sequel","4","11","8",39,"25","14","32","-25",NA,"Thriller, Horror, Comedy","14157367","14.16","32015787",32.02,"46.36","46362957","78,378,744","78","59.15%","20","391.89%","70.79%","","","http://www.amazon.com/gp/product/B00EAZCQ8K/?tag=titb-20",1,NA,NA,NA,"Apr 12, 2013",NA
"Texas Chainsaw 3D",2013,"sequel","19","31","25",41,"46","-5","44","-19",NA,"Horror","21744470","21.74","34341945",34.34,"12.9","12900000","47,241,945","47","27.31%","20","236.21%","108.72%","","","http://www.amazon.com/gp/product/B00CL4BRT6/?tag=titb-20",1,NA,NA,NA,"Jan 4, 2013",NA
"The Book Thief",2013,"adaptation","46","53","50",74,"73","1","74","-24",NA,"Drama, War","105005","0.11","21488481",21.49,"55.1","55097835","76,586,316","77","71.94%","19","403.09%","0.55%","","","http://www.amazon.com/gp/product/B00I2X7X7K/?tag=titb-20",1,NA,NA,NA,"Nov 27, 2013",NA
"Evil Dead",2013,"original screenplay","62","57","60",63,"74","-11","69","-9",NA,"Thriller, Horror","25775847","25.78","54239856",54.24,"43.3","43303096","97,542,952","98","44.39%","17","573.78%","151.62%","","","http://www.amazon.com/gp/product/B00DHNAQ2Y/?tag=titb-20",1,NA,NA,NA,"Apr 5, 2013",NA
"The Best Man Holiday",2013,"sequel","68","59","64",84,"60","24","72","-9",NA,"Drama, Comedy","30107555","30.11","70525195",70.53,"1.1","1100000","71,625,195","72","1.54%","17","421.32%","177.10%","","","http://www.amazon.com/gp/product/B00ID4IATI/?tag=titb-20",1,NA,NA,NA,"Nov 15, 2013",NA
"Mama",2013,"adaptation","65","57","61",56,"69","-13","63","-2",NA,"Mystery, Horror","28402310","28.4","71628180",71.63,"74.8","74800000","146,428,180","146","51.08%","15","976.19%","189.35%","","","http://www.amazon.com/gp/product/B00COHAUD4/?tag=titb-20",1,NA,NA,NA,"Jan 18, 2013",NA
"Romeo and Juliet",2013,"adaptation","22","41","32",48,"59","-11","54","-22",NA,"Drama, Romance","520116","0.52","1162635",1.16,"1.8","1800000","1,162,637","1","154.82%","15","7.75%","3.47%","","","http://www.amazon.com/gp/product/B00I8H5EK8/?tag=titb-20",1,NA,NA,NA,"Oct 11, 2013",NA
"Jackass Presents: Bad Grandpa",2013,"sequel","60","54","57",61,"66","-5","64","-7",NA,"Comedy, Documentary ","32055177","32.06","102003019",102,"49.83","49828518","151,831,537","152","32.82%","15","1012.21%","213.70%","","","http://www.amazon.com/gp/product/B00H9UY4J2/?tag=titb-20",1,NA,NA,NA,"Oct 25, 2013",NA
"21 and Over",2013,"original screenplay","27","34","31",47,"54","-7","51","-20",NA,"Comedy","8754168","8.75","25682380",25.68,"22.38","22383292","48,383,672","48","46.26%","13","372.18%","67.34%","","","http://www.amazon.com/gp/product/B00DGNOJ00/?tag=titb-20",1,NA,NA,NA,"Mar 1, 2013",NA
"The Call",2013,"original screenplay","43","51","47",65,"65","0","65","-18",NA,"Thriller","17118745","17.12","51872378",51.87,"16.7","16700000","68,572,378","69","24.35%","13","527.48%","131.68%","","","http://www.amazon.com/gp/product/B00DHMI9YM/?tag=titb-20",1,NA,NA,NA,"Mar 15, 2013",NA
"Philomena",2013,"based on a true story","92","76","84",89,"79","10","84","0",NA,"Drama","128435","0.13","37709979",37.71,"62.42","62419893","100,129,872","100","62.34%","12","834.42%","1.07%","","","http://www.amazon.com/gp/product/B00IGI5CX8/?tag=titb-20",1,NA,NA,NA,"Nov 27, 2013",NA
"About Time",2013,"original screenplay","69","55","62",81,"82","-1","82","-20",NA,"Sci-Fi, Drama, Fantasy, Comedy, Romance","1076250","1.08","15322921",15.32,"71.78","71777528","87,100,449","87","82.41%","12","725.84%","8.97%","","","http://www.amazon.com/gp/product/B00I8H7APK/?tag=titb-20",1,NA,NA,NA,"Nov 8, 2013",NA
"Inside Llewyn Davis",2013,"adaptation","94","92","93",73,"75","-2","74","19",NA,"Drama, Music","405411","0.41","12235319",12.24,"19.7","19700000","32,935,319","33","59.81%","11","299.41%","3.69%","","","http://www.amazon.com/gp/product/B00IDD5HW2/?tag=titb-20",1,NA,NA,NA,"Jan 10, 2013",NA
"Movie 43",2013,"original screenplay","4","18","11",24,"30","-6","27","-16",NA,"Comedy","4805878","4.81","8840453",8.84,"23.6","23598535","32,438,988","32","72.75%","6","540.65%","80.10%","","","http://www.amazon.com/gp/product/B00DBT6SI0/?tag=titb-20",1,NA,NA,NA,"Jan 25, 2013",NA
"Instructions Not Included",2013,"original screenplay","56","55","56",89,"77","12","83","-28",NA,"Drama, Comedy","7846426","7.85","44467207",44.47,"54.6","54600000","99,067,206","99","55.11%","6","1801.22%","142.66%","","","http://www.amazon.com/gp/product/B00HAWAXW6/?tag=titb-20",1,NA,NA,NA,"Sep 6, 2013",NA
"The Way, Way Back",2013,"original screenplay","85","68","77",84,"79","5","82","-5",NA,"Drama, Comedy","552788","0.55","21506546",21.51,"1.69","1692106","23,198,652","23","7.29%","5","463.97%","11.06%","","","http://www.amazon.com/gp/product/B00FBSP9SO/?tag=titb-20",1,NA,NA,NA,"Jul 5, 2013",NA
"Insidiuous Chapter 2",2013,"sequel","38","40","39",57,"69","-12","63","-24",NA,"Thriller, Horror","40272103","40.27","83586447",83.59,"78.33","78332871","161,919,318","162","48.38%","5","3238.39%","805.44%","","","http://www.amazon.com/gp/product/B00GMOR7LS/?tag=titb-20",1,NA,NA,NA,"Sep 13, 2013",NA
"Don Jon",2013,"original screenplay","80","66","73",59,"70","-11","65","9",NA,"Drama, Comedy, Romance","8677009","8.68","24477704",24.48,"5.97","5973052","30,450,756","30","19.62%","3","1015.03%","289.23%","","","http://www.amazon.com/gp/product/B00GJ0HSUK/?tag=titb-20",1,NA,NA,NA,"Sep 27, 2013",NA
"The Purge",2013,"original screenplay","38","41","40",36,"52","-16","44","-5",NA,"Sci-Fi, Thriller, Horror","34058360","34.06","64473115",64.47,"24.86","24855512","89,328,627","89","27.82%","3","2977.62%","1135.28%","","","http://www.amazon.com/gp/product/B00FPGSCUY/?tag=titb-20",1,NA,NA,NA,"Jun 7, 2013",NA
"The Spectacular Now",2013,"adaptation","93","82","88",76,"81","-5","79","9",NA,"Drama, Comedy, Romance","197415","0","6854611",7,"0","69980","6,854,611","7","1.02%","3","274.18%","7.90%","","","http://www.amazon.com/gp/product/B00H4M3GXK/?tag=titb-20",1,NA,NA,NA,"Aug 2, 2013",NA
"A Haunted House",2013,"original screenplay","10","20","15",51,"51","0","51","-36",NA,"Horror, Comedy","18101682","18.1","40041683",40.04,"20.1","20100000","60,141,683","60","33.42%","3","2405.67%","724.07%","","","http://www.amazon.com/gp/product/B00CHIG3NQ/?tag=titb-20",1,NA,NA,NA,"Jan 11, 2013",NA
"Kevin Hart: Let Me Explain",2013,"original screenplay","63","53","58",72,"63","9","68","-10",NA,"Comedy, Documentary","10030463","10.03","32244051",32.24,"0.07","74000","32,318,051","32","0.23%","3","1292.72%","401.22%","","","http://www.amazon.com/gp/product/B00FWLIWVG/?tag=titb-20",1,NA,NA,NA,"Jul 3, 2013",NA
"Kill Your Darlings",2013,"based on a true story","76","65","71",60,"67","-7","64","7",NA,"Biography, Drama, Thriller, Romance","53452","0.05","1030064",1.03,"0.6","6e+05","1,030,065","1","58.25%","2","51.50%","2.67%","","","http://www.amazon.com/gp/product/B00J2AJW76/?tag=titb-20",1,NA,NA,NA,"Oct 18, 2013",NA
"Big Hero 6",2014,"adaptation","89","74","82",92,"80","12","86","-5",NA,"action, adventure, sci-fi, comedy, animation, family","56215889","56.22","222431643",222.43,"429.6","429600000","652031643","652","65.89%","165","395.17%","34.07%","Oscar winner","Best Animated Feature","http://www.amazon.com/gp/product/B00TYBBYK6/?tag=titb-20",1,NA,NA,NA,"Nov 7, 2014",NA
"American Sniper",2014,"based on a true story ","73","72","73",86,"66","20","76","-4",NA,"action, biography, drama, war","89269066","89.27","348295276",348.3,"193.4","193400000","541695276","542","35.70%","59","918.13%","151.30%","Oscar winner","","http://www.amazon.com/gp/product/B00RFHVCFI/?tag=titb-20",1,NA,NA,NA,"Dec 25, 2014",NA
"The Grand Budapest Hotel",2014,"adaptation","92","88","90",86,"83","3","85","6",NA,"drama, comedy","811166","0.81","59100318",59.1,"115.5","115500000","174600318","175","66.15%","30","582.00%","2.70%","Oscar winner","","http://www.amazon.com/gp/product/B00JB3O6H0/?tag=titb-20",1,NA,NA,NA,"Mar 7, 2014",NA
"Birdman",2014,"original screenplay ","93","88","91",79,"79","0","79","12",NA,"drama, comedy","424397","0.42","42340598",42.34,"60.87","60874496","103215094","103","58.98%","18","573.42%","2.36%","Oscar winner","Best Picture, Best Original Screenplay","http://www.amazon.com/gp/product/B00TPJE3ZK/?tag=titb-20",1,NA,NA,NA,"Oct 17, 2014",NA
"The Theory of Everything",2014,"based on a true story","79","72","76",84,"76","8","80","-5",NA,"biography, drama, romance","208763","0.21","35893537",35.89,"85.31","85308403","121201940","121","70.39%","15","808.01%","1.39%","Oscar winner","Best Adapted Screenplay","http://www.amazon.com/gp/product/B00SNEGFNG/?tag=titb-20",1,NA,NA,NA,"Nov 7, 2014",NA
"Boyhood",2014,"original screenplay ","98","100","99",82,"77","5","80","20",NA,"drama","387618","0.39","25352281",25.35,"19.14","19143000","44495281","44","43.02%","4","1112.38%","9.69%","Oscar winner","Best Supporting Actress (Patricia Arquette)","http://www.amazon.com/gp/product/B00MBWN6UG/?tag=titb-20",1,NA,NA,NA,"Jul 11, 2014",NA
"Whiplash",2014,"original screenplay ","95","88","92",95,"88","7","92","0",NA,"drama","135388","0.14","13092000",13.09,"0.9","901092","13993092","14","6.44%","3.3","424.03%","4.10%","Oscar winner","Best Supporting Actor (J.K. Simmons), Best Film Editing (Tom Cross), Best Sound Mixing (Craig Mann, Ben Wilkins and Thomas Curley)","http://www.amazon.com/gp/product/B00PRXDUE8/?tag=titb-20",1,NA,NA,NA,"Oct 15, 2014",NA
"The Hobbit: The Battle of the Five Armies",2014,"sequel","61","59","60",76,"70","6","73","-13",NA,"adventure, fantasy","54724334","54.72","255119788",255.12,"700","700000000","955119788","955","73.29%","250","382.05%","21.89%","","","http://www.amazon.com/gp/product/B015K53VXW/?tag=titb-20",1,NA,NA,NA,"Dec 17, 2014",NA
"Transformers: Age of Extinction",2014,"sequel","18","32","25",52,"46","6","49","-24",NA,"action, adventure, sci-fi","100038390","100.04","45439076",45.44,"845.97","845966021","1091405097","1,091","77.51%","210","519.72%","47.64%","","","http://www.amazon.com/gp/product/B00L83TQR6/?tag=titb-20",1,NA,NA,NA,"Jun 27, 2014",NA
"The Amazing Spider-Man 2",2014,"sequel","53","53","53",66,"68","-2","67","-14",NA,"action, adventure","91608337","91.61","202853933",202.85,"506.13","506128390","708982323","709","71.39%","200","354.49%","45.80%","","","http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20",1,NA,NA,NA,"May 2, 2014",NA
"X-Men: Days of Future Past",2014,"sequel","91","74","83",92,"83","9","88","-5",NA,"action, adventure, sci-fi, thriller, fantasy","90823660","90.82","233921534",233.92,"514.2","514200000","748121534","748","68.73%","200","374.06%","45.41%","","","http://www.amazon.com/gp/product/B00OH74BXY/?tag=titb-20",1,NA,NA,NA,"May 23, 2014",NA
"Maleficent",2014,"adaptation","49","56","53",71,"69","2","70","-18",NA,"action, adventure, drama, mystery, thriller, fantasy, romance, family","69431298","69.43","241410378",241.41,"517","517000000","758410378","758","68.17%","180","421.34%","38.57%","","","http://www.amazon.com/gp/product/B00P7PK6JS/?tag=titb-20",1,NA,NA,NA,"May 30, 2014",NA
"Edge of Tomorrow",2014,"adaptation","90","71","81",90,"84","6","87","-7",NA,"action, sci-fi","28760246","28.76","100206256",100.21,"269","269000000","369206256","369","72.86%","178","207.42%","16.16%","","","http://www.amazon.com/gp/product/B00KW25MFY/?tag=titb-20",1,NA,NA,NA,"Jun 6, 2014",NA
"Guardians of the Galaxy",2014,"adaptation","91","76","84",93,"85","8","89","-6",NA,"action, adventure, sci-fi","94320883","94.32","333176600",333.18,"441","441000000","774176600","774","56.96%","170","455.40%","55.48%","","","http://www.amazon.com/gp/product/B00QROJ94Q/?tag=titb-20",1,NA,NA,NA,"Aug 1, 2014",NA
"Captain America: The Winter Soldier",2014,"sequel","89","70","80",92,"82","10","87","-8",NA,"action, adventure, sci-fi, thriller","95023721","95.02","259766572",259.77,"455","455000000","714766572","715","63.66%","170","420.45%","55.90%","","","http://www.amazon.com/gp/product/B018UL4Q4G/?tag=titb-20",1,NA,NA,NA,"Apr 4, 2014",NA
"Dawn of the Planet of the Apes",2014,"sequel","90","79","85",89,"82","7","86","-1",NA,"action, sci-fi, drama, thriller","72611427","72.61","208545589",208.55,"500.29","500290000","708835589","709","70.58%","170","416.96%","42.71%","","","http://www.amazon.com/gp/product/B00LP9G64O/?tag=titb-20",1,NA,NA,NA,"Jul 11, 2014",NA
"Interstellar",2014,"original screenplay ","72","74","73",86,"84","2","85","-12",NA,"action, adventure, sci-fi, mystery","47510360","47.51","188020017",188.02,"484.7","484700000","672720017","673","72.05%","165","407.71%","28.79%","","","http://www.amazon.com/gp/product/B00TU9UFTS/?tag=titb-20",1,NA,NA,NA,"Nov 5, 2014",NA
"Godzilla (2014)",2014,"remake / reboot","74","62","68",67,"68","-1","68","1",NA,"action, adventure, sci-fi, thriller, fantasy","93188384","93.19","200676069",200.68,"328","328000000","528676069","529","62.04%","160","330.42%","58.24%","","","http://www.amazon.com/gp/product/B00NM7IR26/?tag=titb-20",1,NA,NA,NA,"May 16, 2014",NA
"Mr. Peabody & Sherman",2014,"adaptation","79","59","69",73,"66","7","70","-1",NA,"adventure, sci-fi, comedy, animation, family","32207057","32.21","111506430",111.51,"161.41","161406000","272912430","273","59.14%","145","188.22%","22.21%","","","http://www.amazon.com/gp/product/B00JEK7QAE/?tag=titb-20",1,NA,NA,NA,"Mar 7, 2014",NA
"How to Train Your Dragon 2",2014,"sequel","92","76","84",90,"84","6","87","-3",NA,"action, adventure, fantasy, comedy, animation, family","49451322","49.45","177002924",177,"441.91","441907011","618909935","619","71.40%","145","426.83%","34.10%","","","http://www.amazon.com/gp/product/B00KYKNHME/?tag=titb-20",1,NA,NA,NA,"Jun 13, 2014",NA
"Exodus: Gods and Kings",2014,"adaptation","27","52","40",37,"46","-9","42","-2",NA,"action, adventure, drama","24115934","24.12","65014513",65.01,"203.02","203017315","268031828","268","75.74%","140","191.45%","17.23%","","","http://www.amazon.com/gp/product/B00QWUJMV0/?tag=titb-20",1,NA,NA,NA,"Dec 12, 2014",NA
"Penguins of Madagascar",2014,"sequel","72","53","63",64,"66","-2","65","-3",NA,"adventure, comedy, animation, family","25447444","25.45","83350911",83.35,"290.2","290201183","373552094","374","77.69%","132","282.99%","19.28%","","","http://www.amazon.com/gp/product/B00Q6D5O8S/?tag=titb-20",1,NA,NA,NA,"Nov 26, 2014",NA
"Night at the Museum: Secret of the Tomb",2014,"sequel","50","47","49",59,"59","0","59","-11",NA,"adventure, fantasy, comedy, family","17100520","17.1","113574930",113.57,"246.63","246625469","360200399","360","68.47%","127","283.62%","13.46%","","","http://www.amazon.com/gp/product/B00R7FU2UE/?tag=titb-20",1,NA,NA,NA,"Dec 19, 2014",NA
"Noah",2014,"adaptation","77","68","73",42,"53","-11","48","25",NA,"action, adventure, drama, fantasy","43720472","43.72","101200044",101.2,"261.44","261437429","362637473","363","72.09%","125","290.11%","34.98%","","","http://www.amazon.com/gp/product/B00JB3MVCW/?tag=titb-20",1,NA,NA,NA,"Mar 28, 2014",NA
"The Hunger Games: Mockingjay - Part 1",2014,"adaptation","65","64","65",73,"63","10","68","-4",NA,"action, adventure, sci-fi, drama, thriller","121897634","121.9","337135885",337.14,"414.96","414964344","752100229","752","55.17%","125","601.68%","97.52%","","","http://www.amazon.com/gp/product/B00T6UD7BY/?tag=titb-20",1,NA,NA,NA,"Nov 21, 2014",NA
"Teenage Mutant Ninja Turtles (2014)",2014,"original screenplay ","21","31","26",53,"50","3","52","-26",NA,"action, adventure, sci-fi, fantasy, comedy, animation","65575105","65.58","191204754",191.2,"293.8","293800000","485004754","485","60.58%","125","388.00%","52.46%","","","http://www.amazon.com/gp/product/B00R2Z3SZA/?tag=titb-20",1,NA,NA,NA,"Aug 8, 2014",NA
"300: Rise of An Empire",2014,"sequel","42","48","45",53,"61","-8","57","-12",NA,"action, drama, fantasy, war","45038460","45.04","106580051",106.58,"231","231000000","337580051","338","68.43%","110","306.89%","40.94%","","","http://www.amazon.com/gp/product/B00IXE7274/?tag=titb-20",1,NA,NA,NA,"Mar 7, 2014",NA
"Rio 2",2014,"sequel","48","49","49",59,"62","-3","61","-12",NA,"adventure, comedy, animation, family","39327869","39.33","131538435",131.54,"368.65","368650000","500188435","500","73.70%","103","485.62%","38.18%","","","http://www.amazon.com/gp/product/B00JM6W5RE/?tag=titb-20",1,NA,NA,NA,"Apr 11, 2014",NA
"Hercules (2014)",2014,"adaptation","60","47","54",50,"65","-15","58","-4",NA,"action, adventure","29800263","29.8","72688614",72.69,"170.7","170700000","243388614","243","70.13%","100","243.39%","29.80%","","","http://www.amazon.com/gp/product/B00OPX707Y/?tag=titb-20",1,NA,NA,NA,"Jul 25, 2014",NA
"RoboCop (2014)",2014,"remake / reboot","49","52","51",51,"63","-12","57","-7",NA,"action, sci-fi, thriller, crime","21681430","21.68","58607007",58.61,"184.08","184081958","242668965","243","75.86%","100","242.67%","21.68%","","","http://www.amazon.com/gp/product/B00IK590UI/?tag=titb-20",1,NA,NA,NA,"Feb 12, 2014",NA
"The Expendables 3",2014,"sequel","33","35","34",49,"57","-8","53","-19",NA,"action, adventure, thriller","15879645","15.88","39322544",39.32,"166.85","166850000","206172544","206","80.93%","90","229.08%","17.64%","","","http://www.amazon.com/gp/product/B00MQOZETK/?tag=titb-20",1,NA,NA,NA,"Aug 15, 2014",NA
"Divergent",2014,"adaptation","40","48","44",70,"59","11","65","-21",NA,"action, adventure, sci-fi, drama, romance","54607747","54.61","150947895",150.95,"137.8","137800000","288747895","289","47.72%","85","339.70%","64.24%","","","http://www.amazon.com/gp/product/B00J59ZKV6/?tag=titb-20",1,NA,NA,NA,"Mar 21, 2014",NA
