"Film","Year","Script.Type","Rotten.Tomatoes..critics","Metacritic..critics","Average.critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Rotten.Tomatoes.vs.Metacritic..deviance","Average.audience","Audience.vs.Critics.deviance","Primary.Genre","Genre","Opening.Weekend","Opening.weekend...million.","Domestic.Gross","Domestic.gross...million.","Foreign.Gross...million.","Foreign.Gross","Worldwide.Gross","Worldwide.Gross...million.","of.Gross.earned.abroad","Budget...million.","Budget.recovered","Budget.recovered.opening.weekend","Oscar.Winners","Oscar.Detail","Link","None","Distributor","IMDb.Rating","IMDB.vs.RT.disparity","Release.Date..US.","financial.source..if.not.The.numbers"
"Halloween ",2018,"sequel","79","67","73",73,"70","3","72","2",NA,"horror","76221545","76.2","159342015",159,"94","94337910","253679925","2537","37.19%","10","2536.80%","762.22%",NA,NA,"https://www.amazon.com/Halloween-Jamie-Lee-Curtis/dp/B07JG4HZ12/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974551&sr=1-1&keywords=halloween+2018",NA,NA,NA,NA,"Oct 19, 2018",NA
"Hearts Beat Loud",2018,"original screenplay","91","65","78",73,"73","0","73","5",NA,"drama","74524","0.1","2384689",2,"0","0","2384689","24","0","2","119.23%","3.73%",NA,NA,"https://www.amazon.com/Hearts-Beat-Loud-Nick-Offerman/dp/B07DMBMM3R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974561&sr=1-1&keywords=Hearts+Beat+Loud",NA,NA,NA,NA,"Jun 8, 2018",NA
"Hereditary",2018,"original screenplay","89","87","88",60,"75","-15","68","21",NA,"horror","13575172","13.6","44062718",44,"35","35269917","79332635","793","44.46%","10","793.33%","135.75%",NA,NA,"https://www.amazon.com/Hereditary-Toni-Collette/dp/B07DJ1BXPM/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974573&sr=1-2&keywords=Hereditary",NA,NA,NA,NA,"Jun 8, 2018",NA
"Holmes and Watson",2018,"adaptation","8","24","16",28,"15","13","22","-6",NA,"comedy","7411522","7.4","28410922",28,"7","7100000","35510922","355","19.99%","42","84.55%","17.65%",NA,NA,"https://www.amazon.com/Holmes-Watson-Will-Ferrell/dp/B07LGRN4RB/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974586&sr=1-2&keywords=Holmes+and+Watson",NA,NA,NA,NA,"Dec 25, 2018",NA
"Hostiles",2018,"original screenplay","71","65","68",72,"71","1","72","-4",NA,"drama","10110739","10.1","29819114",30,"0","0","29819114","298","0","45","66.26%","22.47%",NA,NA,"https://www.amazon.com/Hostiles-Christian-Bale/dp/B07B37BCPL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975004&sr=1-2&keywords=Hostiles",NA,NA,NA,NA,"Jan 5, 2018",NA
"Hotel Artemis",2018,"original screenplay","59","58","59",33,"58","-25","46","13",NA,"thriller, suspense","3232790","3.2","6708137",7,"5","4516678","11224815","112","40.24%","15","74.83%","21.55%",NA,NA,"https://www.amazon.com/Hotel-Artemis-Jodie-Foster/dp/B07J1FZ4TZ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975013&sr=1-1&keywords=Hotel+Artemis",NA,NA,NA,NA,"Jun 8, 2018",NA
"Hotel Transylvania 3: Summer Vacation",2018,"sequel","59","54","57",52,"61","-9","57","0",NA,"adventure","44076225","44.1","158946600",159,"304","303666328","462612928","4626","65.64%","80","578.27%","55.10%",NA,NA,"https://www.amazon.com/Hotel-Transylvania-3-Adam-Sandler/dp/B07FCZ655C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975022&sr=1-1&keywords=Hotel+Transylvania+33A+Summer+Vacation",NA,NA,NA,NA,"Jul 13, 2018",NA
"Hunter Killer",2018,"adaptation","37","43","40",79,"62","17","71","-31",NA,"action","6653777","6.7","15767460",16,"0","0","15767460","158","0.00%","40","-","-",NA,NA,"https://www.amazon.com/Hunter-Killer-Gerard-Butler/dp/B07L9FHQXM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975030&sr=1-1&keywords=Hunter+Killer",NA,NA,NA,NA,"Oct 26, 2018",NA
"I Can Only Imagine",2018,"based on a true story","65","30","48",91,"80","11","86","-38",NA,"drama","17108914","17.1","83482352",83,"0","0","83482352","835","0","7","1192.61%","244.41%",NA,NA,"https://www.amazon.com/Can-Only-Imagine-Michael-Finley/dp/B07D6W2PWT/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975039&sr=1-2&keywords=I+Can+Only+Imagine",NA,NA,NA,NA,"Mar 16, 2018",NA
"I Feel Pretty",2018,"original screenplay","33","47","40",34,"34","0","34","6",NA,"comedy","16030218","16.0","48795601",49,"40","39630481","88426082","884","44.82%","32","276.33%","50.09%",NA,NA,"https://www.amazon.com/I-Feel-Pretty-Amy-Schumer/dp/B07C7N5K8V/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975048&sr=1-2&keywords=I+Feel+Pretty",NA,NA,NA,NA,"Apr 20, 2018",NA
"Incredibles 2",2018,"sequel","93","80","87",87,"82","5","85","2",NA,"adventure","182687905","182.7","597247671",597,"545","545340438","1142588109","11426","47.73%","200","571.29%","91.34%",NA,NA,"https://www.amazon.com/Incredibles-2-Craig-T-Nelson/dp/B07DPG9Z6R/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975057&sr=1-2&keywords=Incredibles+2",NA,NA,NA,NA,"Jun 15, 2018",NA
